text,label
I absolutely loved this product,positive
Worst purchase ever. Totally disappointed.,negative
"It's okay, nothing special but not bad either.",neutral
Fantastic quality and great value for money.,positive
"Terrible experience, it broke after one day.",negative
I'm not sure about it; it's fine for the price.,neutral
Exceeded my expectations—highly recommend!,positive
"Do not buy this, complete waste of money.",negative
"Meh, it's average and just okay.",neutral
The customer support was amazing and helpful.,positive
I hate it. Stopped working immediately.,negative
Neither good nor bad; it just does the job.,neutral
Brilliant performance and sleek design.,positive
The item arrived damaged and late.,negative
I feel indifferent about this product.,neutral
Absolutely fantastic! Will buy again.,positive
This was a terrible mistake.,negative
It's fine; I don't have strong feelings.,neutral
Loved the packaging and the quick delivery.,positive
The battery life is awful.,negative
It’s usable but could be better.,neutral
Super happy with the results!,positive
This ruined my day. Horrible.,negative
"Average product, average experience.",neutral
Delightful user experience and top-notch build.,positive
The quality is poor and flimsy.,negative
So-so performance; nothing impressive.,neutral
A must-have—works like a charm.,positive
Total garbage. I want a refund.,negative
Neither impressed nor disappointed.,neutral
